nome,hora,dia,source
CarlosBolsonaro,22:53,2018-09-16,Twitter for iPhone
CarlosBolsonaro,10:11,2018-09-17,Twitter for iPhone
CarlosBolsonaro,12:06,2018-09-17,Twitter for iPhone
CarlosBolsonaro,12:45,2018-09-17,Twitter for iPhone
CarlosBolsonaro,12:54,2018-09-17,Twitter for iPhone
CarlosBolsonaro,14:14,2018-09-17,Twitter for iPhone
CarlosBolsonaro,16:09,2018-09-17,Twitter for iPhone
CarlosBolsonaro,16:22,2018-09-17,Twitter for iPhone
CarlosBolsonaro,19:20,2018-09-17,Twitter for iPhone
CarlosBolsonaro,22:25,2018-09-17,Twitter for iPhone
CarlosBolsonaro,22:30,2018-09-17,Twitter for iPhone
CarlosBolsonaro,0:43,2018-09-18,Twitter for iPhone
CarlosBolsonaro,1:13,2018-09-18,Twitter for iPhone
CarlosBolsonaro,8:42,2018-09-18,Twitter for iPhone
CarlosBolsonaro,17:41,2018-09-18,Twitter for iPhone
CarlosBolsonaro,18:21,2018-09-18,Twitter for iPhone
CarlosBolsonaro,22:24,2018-09-18,Twitter for iPhone
CarlosBolsonaro,23:32,2018-09-18,Twitter for iPhone
CarlosBolsonaro,23:52,2018-09-18,Twitter for iPhone
CarlosBolsonaro,23:55,2018-09-18,Twitter for iPhone
CarlosBolsonaro,10:08,2018-09-19,Twitter for iPhone
CarlosBolsonaro,10:55,2018-09-19,Twitter for iPhone
CarlosBolsonaro,13:06,2018-09-19,Twitter for iPhone
CarlosBolsonaro,15:33,2018-09-19,Twitter for iPhone
CarlosBolsonaro,19:19,2018-09-19,Twitter for iPhone
CarlosBolsonaro,21:21,2018-09-19,Twitter for iPhone
CarlosBolsonaro,22:52,2018-09-19,Twitter for iPhone
CarlosBolsonaro,23:33,2018-09-19,Twitter for iPhone
CarlosBolsonaro,23:43,2018-09-19,Twitter for iPhone
CarlosBolsonaro,0:22,2018-09-20,Twitter for iPhone
CarlosBolsonaro,9:08,2018-09-20,Twitter for iPhone
CarlosBolsonaro,10:18,2018-09-20,Twitter for iPhone
CarlosBolsonaro,10:24,2018-09-20,Twitter for iPhone
CarlosBolsonaro,10:41,2018-09-20,Twitter for iPhone
CarlosBolsonaro,11:13,2018-09-20,Twitter for iPhone
CarlosBolsonaro,13:37,2018-09-20,Twitter for iPhone
CarlosBolsonaro,15:14,2018-09-20,Twitter for iPhone
CarlosBolsonaro,17:38,2018-09-20,Twitter for iPhone
CarlosBolsonaro,19:22,2018-09-20,Twitter for iPhone
CarlosBolsonaro,19:52,2018-09-20,Twitter for iPhone
CarlosBolsonaro,20:46,2018-09-20,Twitter for iPhone
CarlosBolsonaro,22:00,2018-09-20,Twitter for iPhone
CarlosBolsonaro,22:11,2018-09-20,Twitter for iPhone
CarlosBolsonaro,23:14,2018-09-20,Twitter for iPhone
CarlosBolsonaro,1:22,2018-09-21,Twitter for iPhone
CarlosBolsonaro,1:23,2018-09-21,Twitter for iPhone
CarlosBolsonaro,1:34,2018-09-21,Twitter for iPhone
CarlosBolsonaro,1:34,2018-09-21,Twitter for iPhone
CarlosBolsonaro,1:34,2018-09-21,Twitter for iPhone
CarlosBolsonaro,1:35,2018-09-21,Twitter for iPhone
CarlosBolsonaro,1:35,2018-09-21,Twitter for iPhone
CarlosBolsonaro,1:36,2018-09-21,Twitter for iPhone
CarlosBolsonaro,1:38,2018-09-21,Twitter for iPhone
CarlosBolsonaro,1:53,2018-09-21,Twitter for iPhone
CarlosBolsonaro,2:09,2018-09-21,Twitter for iPhone
CarlosBolsonaro,2:24,2018-09-21,Twitter for iPhone
CarlosBolsonaro,2:26,2018-09-21,Twitter for iPhone
CarlosBolsonaro,2:28,2018-09-21,Twitter for iPhone
CarlosBolsonaro,2:33,2018-09-21,Twitter for iPhone
CarlosBolsonaro,2:38,2018-09-21,Twitter for iPhone
CarlosBolsonaro,3:14,2018-09-21,Twitter for iPhone
CarlosBolsonaro,3:14,2018-09-21,Twitter for iPhone
CarlosBolsonaro,3:35,2018-09-21,Twitter for iPhone
CarlosBolsonaro,3:36,2018-09-21,Twitter for iPhone
CarlosBolsonaro,11:32,2018-09-21,Twitter for iPhone
CarlosBolsonaro,13:17,2018-09-21,Twitter for iPhone
